Number;StructureName;StructureType;Condition of Bridge;TotalWidth;TotalLength;ConstructionYear;NumberOfSpan;Zone;Circle;Division;Sub-Division;RoadNo;StructureLRPName;ReferenceLRPNo;LocationLRPOffset;LocationChainage;LatitudeDegree;LatitudeMinute;LatitudeSecond;LongitudeDegree;LongitudeMinute;LongitudeSecond;BCS1TotalScore
1;Kanch pur Bridge.;PC Girder Bridge;A;14,55;394,23;1986;8;Dhaka;Dhaka;Narayanganj;Narayanganj-1;N1;LRP008b;LRP005;3976;8,976;23;42;7,5;90;30;57,3;0
2;Madanpur Bridge.(L);PC Girder Bridge;A;9,2;27,5;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP013a;LRP013;305;12,66;23;41;28,4;90;32;41,6;0
3;Madanpur Bridge(R);PC Girder Bridge;A;9,12;27,5;2007;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP013b;LRP013;333;12,688;23;41;28;90;32;41,6;0
4;Langalbandh Bridge.;RCC Girder Bridge;B;17,8;159,52;1998;5;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP017b;LRP016;1672;17,134;23;39;33,9;90;34;10,9;31
5;Darikandi Bridge (L);PC Girder Bridge;A;9,15;20,5;2002;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018a;LRP016;2260;17,222;23;39;21,8;90;34;27,7;0
6;Darikandi Bridge  (R);PC Girder Bridge;A;9,16;20,45;2002;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018b;LRP016;2281;17,222;23;39;21,9;90;34;28,1;0
7;Sonakhal Bridge(R);PC Girder Bridge;B;9,16;25,5;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018d;LRP016;2657;18,093;23;39;14,4;90;34;38,2;1
8;Sonakhal Bridge(L);PC Girder Bridge;A;9,16;25,5;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018c;LRP016;2631;18,093;23;39;14,4;90;34;38,2;0
9;Mollik para Bridge(L);PC Girder Bridge;B;9,16;40,4;2001;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP019a;LRP016;3280;18,742;23;39;3,4;90;34;57,7;2
10;Mollik para Bridge(R);PC Girder Bridge;B;9,23;40,33;2001;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP019b;LRP016;3321;18,742;23;39;3,4;90;34;56,7;1
11;Marikhali Bridge(L);PC Girder Bridge;A;9,2;86,92;2000;3;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP021c;LRP020;1720;21,184;23;38;3;90;35;48,8;0
12;Marikhali Bridge(R);PC Girder Bridge;A;9,14;89,75;2000;3;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP021d;LRP020;1810;21,184;23;38;3;90;35;48,8;0
13;Ashariarchar Bridge(L);PC Girder Bridge;B;9,2;214,09;2000;9;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP023a;LRP023;126;22,596;23;37;27,4;90;36;19,7;1
14;Ashariarchar Bridge(R);PC Girder Bridge;B;9,12;224,82;2004;7;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP023b;LRP023;352;22,596;23;37;21;90;36;24,3;1
